學號,姓名,性別,入學年,班級,座號,生日(西元),身份證字號,父親姓名,母親姓名,郵遞區號,電話,住址,緊急聯方式,入學前國小名稱,戶籍遷入日期(西元),學生行動電話,連絡地址,監護人,監護人行動電話,父親手機,母親手機,父親職業,父親公司,父親公司電話,母親職業,母親公司,母親公司電話
86011,林開X,1,86,2,1,1996/2/5,L23456700,林xx,廖xx,435,262343827,雲林縣斗南鎮下寮里中和街4號,0923-032870,xx國小,,,,,,,,,,,,,
86012,柯政X,1,86,2,2,1996/6/2,L14564300,柯xx,洪xx,435,67644381,雲林縣斗南鎮文化里7鄰東建路1號,0923-032870,xx國小,,,,,,,,,,,,,
86013,張勛X,1,86,2,3,1996/7/28,N15544000,張xx,陳xx,435,26341262,雲林縣斗南鎮安仁里5鄰梧棲路9號,0931-549242,xx國小,,,,,,,,,,,,,
86014,林志X,1,86,2,4,1996/8/14,L18775000,林xx,童xx,435,265345337,雲林縣斗南鎮中正里7鄰中興路18巷2,0953-6916677,xx國小,,,,,,,,,,,,,
86015,蔡庚X,1,86,2,5,1996/2/25,L23343000,蔡xx,鄒xx,435,23453422,雲林縣斗南鎮中正里19鄰梧棲路11巷2號,26562451,xx國小,,,,,,,,,,,,,
86016,陳信X,1,86,2,6,1996/6/5,L123253000,陳xx,鄭桂妙,435,4461943,雲林縣斗南鎮中正里中興路18巷1弄12號,0921-728850,xx國小,,,,,,,,,,,,,
86017,林德X,1,86,2,7,1996/7/8,L133435000,張xx,,435,2634521,雲林縣斗南鎮中正里3鄰仁美街3巷69號,26573434,xx國小,,,,,,,,,,,,,
86018,林承X,1,86,2,8,1995/10/2,L779334000,林xx,林xx,434,2654348,雲林縣斗南鎮南寮村8鄰中沙路2號,0912-667788,xx國小,,,,,,,,,,,,,
86019,陳科X,1,86,2,9,1996/3/2,L1252343000,陳xx,黃xx,435,34534561,雲林縣斗南鎮草湳里建國北街24號2樓,0923-243445,xx國小,,,,,,,,,,,,,
86020,陳柏X,1,86,2,10,1995/11/6,L125231000,陳xx,黃xx,435,25454542,雲林縣斗南鎮草湳里1鄰梧南路2號之11,0923-300889,xx國小,,,,,,,,,,,,,
